"Step","HistoryLen4-5,10 - Episode_Reward/payload_2_target","HistoryLen4-5,10 - Episode_Reward/payload_2_target__MIN","HistoryLen4-5,10 - Episode_Reward/payload_2_target__MAX"
"374","-0.1292034387588501","-0.1292034387588501","-0.1292034387588501"
"375","-0.1792408674955368","-0.1792408674955368","-0.1792408674955368"
"376","-0.14258718490600586","-0.14258718490600586","-0.14258718490600586"
"377","-0.1739421933889389","-0.1739421933889389","-0.1739421933889389"
"378","-0.1567767709493637","-0.1567767709493637","-0.1567767709493637"
"379","-0.117670439183712","-0.117670439183712","-0.117670439183712"
"380","-0.11919280886650085","-0.11919280886650085","-0.11919280886650085"
"381","-0.1767948865890503","-0.1767948865890503","-0.1767948865890503"
"382","-0.0837976261973381","-0.0837976261973381","-0.0837976261973381"
"383","-0.07952238619327545","-0.07952238619327545","-0.07952238619327545"
"384","-0.11646376550197601","-0.11646376550197601","-0.11646376550197601"
"385","-0.14070996642112732","-0.14070996642112732","-0.14070996642112732"
"386","-0.18544581532478333","-0.18544581532478333","-0.18544581532478333"
"387","-0.09595668315887451","-0.09595668315887451","-0.09595668315887451"
"388","-0.19144350290298462","-0.19144350290298462","-0.19144350290298462"
"389","-0.1882408857345581","-0.1882408857345581","-0.1882408857345581"
"390","-0.17654065787792206","-0.17654065787792206","-0.17654065787792206"
"391","-0.24653176963329315","-0.24653176963329315","-0.24653176963329315"
"392","-0.1130460798740387","-0.1130460798740387","-0.1130460798740387"
"393","-0.17428049445152283","-0.17428049445152283","-0.17428049445152283"
"394","-0.2910084128379822","-0.2910084128379822","-0.2910084128379822"
"395","-0.20837533473968506","-0.20837533473968506","-0.20837533473968506"
"396","-0.1220066249370575","-0.1220066249370575","-0.1220066249370575"
"397","-0.19668272137641907","-0.19668272137641907","-0.19668272137641907"
"398","-0.09705200791358948","-0.09705200791358948","-0.09705200791358948"
"399","-0.2176874577999115","-0.2176874577999115","-0.2176874577999115"
"400","-0.11508088558912277","-0.11508088558912277","-0.11508088558912277"
"401","-0.10723619163036346","-0.10723619163036346","-0.10723619163036346"
