"Step","AnymalD-ArmLess-Variable4 - Episode_Reward/payload_2_target","AnymalD-ArmLess-Variable4 - Episode_Reward/payload_2_target__MIN","AnymalD-ArmLess-Variable4 - Episode_Reward/payload_2_target__MAX"
"140","-0.09879811853170395","-0.09879811853170395","-0.09879811853170395"
"141","-0.06529012322425842","-0.06529012322425842","-0.06529012322425842"
"143","-0.022674109786748886","-0.022674109786748886","-0.022674109786748886"
"144","-0.04691244289278984","-0.04691244289278984","-0.04691244289278984"
"145","-0.06139161437749863","-0.06139161437749863","-0.06139161437749863"
"147","-0.08255496621131897","-0.08255496621131897","-0.08255496621131897"
"148","-0.05084684491157532","-0.05084684491157532","-0.05084684491157532"
"149","-0.09118279069662094","-0.09118279069662094","-0.09118279069662094"
"150","-0.08545905351638794","-0.08545905351638794","-0.08545905351638794"
"151","-0.07541313767433167","-0.07541313767433167","-0.07541313767433167"
"153","-0.17795726656913757","-0.17795726656913757","-0.17795726656913757"
"154","-0.05948112905025482","-0.05948112905025482","-0.05948112905025482"
"155","-0.09033913910388947","-0.09033913910388947","-0.09033913910388947"
"156","-0.07503604888916016","-0.07503604888916016","-0.07503604888916016"
"157","-0.05688704177737236","-0.05688704177737236","-0.05688704177737236"
"158","-0.08353546261787415","-0.08353546261787415","-0.08353546261787415"
"159","-0.11074366420507431","-0.11074366420507431","-0.11074366420507431"
"160","-0.11424072831869125","-0.11424072831869125","-0.11424072831869125"
"161","-0.10175842046737671","-0.10175842046737671","-0.10175842046737671"
"162","-0.10524396598339081","-0.10524396598339081","-0.10524396598339081"
"163","-0.12201021611690521","-0.12201021611690521","-0.12201021611690521"
"165","-0.15249086916446686","-0.15249086916446686","-0.15249086916446686"
"166","-0.17993633449077606","-0.17993633449077606","-0.17993633449077606"
"167","-0.16147640347480774","-0.16147640347480774","-0.16147640347480774"
"168","-0.16230767965316772","-0.16230767965316772","-0.16230767965316772"
"169","-0.14659446477890015","-0.14659446477890015","-0.14659446477890015"
"170","-0.1296672224998474","-0.1296672224998474","-0.1296672224998474"
"171","-0.11400353163480759","-0.11400353163480759","-0.11400353163480759"
