"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"233","0.625","0.625","0.625"
"235","0.375","0.375","0.375"
"237","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"238","0.5","0.5","0.5"
"240","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"241","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"242","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"244","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"245","0.375","0.375","0.375"
"254","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"255","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"257","0.25","0.25","0.25"
"258","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"259","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"263","0.125","0.125","0.125"
"268","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"270","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"271","0.25","0.25","0.25"
"272","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"274","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"278","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"279","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"280","0.25","0.25","0.25"
"281","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"284","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"285","0.25","0.25","0.25"
"286","0.4583333432674408","0.4583333432674408","0.4583333432674408"
"287","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"290","0.25","0.25","0.25"
"292","0.5416666865348816","0.5416666865348816","0.5416666865348816"
"294","0.375","0.375","0.375"
"296","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"299","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"302","0.25","0.25","0.25"
"303","0.25","0.25","0.25"
"305","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"308","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"310","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"311","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"312","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"313","0.125","0.125","0.125"
"314","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"316","0.125","0.125","0.125"
"318","0.375","0.375","0.375"
"319","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"320","0.375","0.375","0.375"
"322","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"323","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"324","0.25","0.25","0.25"
"326","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"329","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"331","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"333","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"336","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"337","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"338","0.125","0.125","0.125"
"339","0.375","0.375","0.375"
"341","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"342","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"343","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"346","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"347","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"349","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"350","0.125","0.125","0.125"
"351","0","0","0"
"353","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"354","0.125","0.125","0.125"
"355","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"358","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"359","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"360","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"362","0.125","0.125","0.125"
"363","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"365","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"366","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"367","0","0","0"
"368","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"370","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"371","0.125","0.125","0.125"
"372","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"373","0.25","0.25","0.25"
"374","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"379","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"386","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"388","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"391","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"392","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"394","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"397","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"400","0.25","0.25","0.25"
"401","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"402","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"403","0.4166666865348816","0.4166666865348816","0.4166666865348816"
"404","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"405","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"407","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"414","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"415","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"424","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"429","0.25","0.25","0.25"
"430","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"431","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"432","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"433","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"434","0.125","0.125","0.125"
"437","0.125","0.125","0.125"
"440","0","0","0"
"441","0","0","0"
"442","0","0","0"
"443","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"444","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"447","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"450","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"457","0","0","0"
"459","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"461","0.0833333358168602","0.0833333358168602","0.0833333358168602"
