"Step","Attempt23 - Episode_Reward/payload_2_target","Attempt23 - Episode_Reward/payload_2_target__MIN","Attempt23 - Episode_Reward/payload_2_target__MAX"
"377","1.189491629600525","1.189491629600525","1.189491629600525"
"378","1.2109375","1.2109375","1.2109375"
"384","1.3103249073028564","1.3103249073028564","1.3103249073028564"
"385","1.3675918579101562","1.3675918579101562","1.3675918579101562"
"386","1.443028211593628","1.443028211593628","1.443028211593628"
"392","1.6170806884765625","1.6170806884765625","1.6170806884765625"
"394","1.7026532888412476","1.7026532888412476","1.7026532888412476"
"395","1.6916875839233398","1.6916875839233398","1.6916875839233398"
"396","1.6519136428833008","1.6519136428833008","1.6519136428833008"
"398","1.837559700012207","1.837559700012207","1.837559700012207"
"399","1.6357572078704834","1.6357572078704834","1.6357572078704834"
"400","1.6551580429077148","1.6551580429077148","1.6551580429077148"
"402","1.74424409866333","1.74424409866333","1.74424409866333"
"403","1.7792975902557373","1.7792975902557373","1.7792975902557373"
"405","1.8864665031433105","1.8864665031433105","1.8864665031433105"
"406","2.015947103500366","2.015947103500366","2.015947103500366"
"408","2.2053775787353516","2.2053775787353516","2.2053775787353516"
"409","2.3289527893066406","2.3289527893066406","2.3289527893066406"
"410","2.123598098754883","2.123598098754883","2.123598098754883"
"412","2.221745014190674","2.221745014190674","2.221745014190674"
"415","2.1624979972839355","2.1624979972839355","2.1624979972839355"
"416","2.277143955230713","2.277143955230713","2.277143955230713"
"420","2.582542896270752","2.582542896270752","2.582542896270752"
"421","2.6463804244995117","2.6463804244995117","2.6463804244995117"
"423","2.725264310836792","2.725264310836792","2.725264310836792"
"424","2.5325767993927","2.5325767993927","2.5325767993927"
"426","2.8987720012664795","2.8987720012664795","2.8987720012664795"
"427","2.848492383956909","2.848492383956909","2.848492383956909"
"428","2.868197202682495","2.868197202682495","2.868197202682495"
"430","2.9461512565612793","2.9461512565612793","2.9461512565612793"
"432","2.9459052085876465","2.9459052085876465","2.9459052085876465"
"433","3.333745002746582","3.333745002746582","3.333745002746582"
"438","3.5783231258392334","3.5783231258392334","3.5783231258392334"
"439","3.8884589672088623","3.8884589672088623","3.8884589672088623"
"442","4.214935302734375","4.214935302734375","4.214935302734375"
"443","4.131822109222412","4.131822109222412","4.131822109222412"
"444","4.292006969451904","4.292006969451904","4.292006969451904"
"449","4.770379066467285","4.770379066467285","4.770379066467285"
"450","4.510575771331787","4.510575771331787","4.510575771331787"
"451","4.496129989624023","4.496129989624023","4.496129989624023"
"452","4.456058025360107","4.456058025360107","4.456058025360107"
"454","4.860998153686523","4.860998153686523","4.860998153686523"
"455","4.9528913497924805","4.9528913497924805","4.9528913497924805"
"456","4.749574661254883","4.749574661254883","4.749574661254883"
"457","5.179596900939941","5.179596900939941","5.179596900939941"
"461","4.9289069175720215","4.9289069175720215","4.9289069175720215"
"463","4.478282928466797","4.478282928466797","4.478282928466797"
"464","5.173340797424316","5.173340797424316","5.173340797424316"
"466","4.721983909606934","4.721983909606934","4.721983909606934"
"467","5.163576126098633","5.163576126098633","5.163576126098633"
"469","4.946089267730713","4.946089267730713","4.946089267730713"
"473","5.196071147918701","5.196071147918701","5.196071147918701"
"474","5.423301696777344","5.423301696777344","5.423301696777344"
"479","4.840691566467285","4.840691566467285","4.840691566467285"
"482","5.369063854217529","5.369063854217529","5.369063854217529"
"484","5.589350700378418","5.589350700378418","5.589350700378418"
"485","5.2955522537231445","5.2955522537231445","5.2955522537231445"
"487","5.418158531188965","5.418158531188965","5.418158531188965"
"488","5.810502052307129","5.810502052307129","5.810502052307129"
"489","5.910457611083984","5.910457611083984","5.910457611083984"
"492","5.673122406005859","5.673122406005859","5.673122406005859"
"494","5.584414958953857","5.584414958953857","5.584414958953857"
"495","5.279480934143066","5.279480934143066","5.279480934143066"
"496","6.178664207458496","6.178664207458496","6.178664207458496"
"498","5.151158332824707","5.151158332824707","5.151158332824707"
"500","5.088666915893555","5.088666915893555","5.088666915893555"
"506","5.954070568084717","5.954070568084717","5.954070568084717"
"507","6.469635963439941","6.469635963439941","6.469635963439941"
"508","5.627509593963623","5.627509593963623","5.627509593963623"
"509","6.109755516052246","6.109755516052246","6.109755516052246"
"511","5.8310675621032715","5.8310675621032715","5.8310675621032715"
"514","5.850831985473633","5.850831985473633","5.850831985473633"
"515","5.995408058166504","5.995408058166504","5.995408058166504"
"516","6.321774959564209","6.321774959564209","6.321774959564209"
"517","6.126151084899902","6.126151084899902","6.126151084899902"
"518","6.6565656661987305","6.6565656661987305","6.6565656661987305"
"519","5.870631694793701","5.870631694793701","5.870631694793701"
"521","6.123878479003906","6.123878479003906","6.123878479003906"
"523","5.632527828216553","5.632527828216553","5.632527828216553"
"524","6.312528610229492","6.312528610229492","6.312528610229492"
"526","6.2892255783081055","6.2892255783081055","6.2892255783081055"
"528","6.567325115203857","6.567325115203857","6.567325115203857"
"529","6.329802513122559","6.329802513122559","6.329802513122559"
"530","6.482945442199707","6.482945442199707","6.482945442199707"
"531","6.492256164550781","6.492256164550781","6.492256164550781"
"533","6.048089504241943","6.048089504241943","6.048089504241943"
"534","6.108123779296875","6.108123779296875","6.108123779296875"
"536","6.202388763427734","6.202388763427734","6.202388763427734"
"537","6.248988151550293","6.248988151550293","6.248988151550293"
"539","5.931146621704102","5.931146621704102","5.931146621704102"
"541","5.761623382568359","5.761623382568359","5.761623382568359"
"542","5.982593536376953","5.982593536376953","5.982593536376953"
"543","6.136307716369629","6.136307716369629","6.136307716369629"
"544","6.480585098266602","6.480585098266602","6.480585098266602"
"546","6.175487518310547","6.175487518310547","6.175487518310547"
"550","6.072270393371582","6.072270393371582","6.072270393371582"
"557","6.263364315032959","6.263364315032959","6.263364315032959"
"559","6.706883907318115","6.706883907318115","6.706883907318115"
"560","6.372630596160889","6.372630596160889","6.372630596160889"
"561","6.529191970825195","6.529191970825195","6.529191970825195"
"562","6.585934638977051","6.585934638977051","6.585934638977051"
