"Step","exponentialNoMovement - Episode_Reward/oriRew","exponentialNoMovement - Episode_Reward/oriRew__MIN","exponentialNoMovement - Episode_Reward/oriRew__MAX"
"320","4.161037445068359","4.161037445068359","4.161037445068359"
"321","4.038947105407715","4.038947105407715","4.038947105407715"
"322","3.67024564743042","3.67024564743042","3.67024564743042"
"323","3.639791488647461","3.639791488647461","3.639791488647461"
"324","4.363787651062012","4.363787651062012","4.363787651062012"
"325","4.329403877258301","4.329403877258301","4.329403877258301"
"326","3.9979186058044434","3.9979186058044434","3.9979186058044434"
"327","4.172561168670654","4.172561168670654","4.172561168670654"
"328","4.574323654174805","4.574323654174805","4.574323654174805"
"329","3.9507522583007812","3.9507522583007812","3.9507522583007812"
"330","3.98559832572937","3.98559832572937","3.98559832572937"
"331","4.088656425476074","4.088656425476074","4.088656425476074"
"332","4.2189130783081055","4.2189130783081055","4.2189130783081055"
"333","4.416528701782227","4.416528701782227","4.416528701782227"
"334","4.459607124328613","4.459607124328613","4.459607124328613"
"335","4.546849727630615","4.546849727630615","4.546849727630615"
"336","4.239466667175293","4.239466667175293","4.239466667175293"
"337","3.9451653957366943","3.9451653957366943","3.9451653957366943"
"338","4.104920387268066","4.104920387268066","4.104920387268066"
"339","4.766632080078125","4.766632080078125","4.766632080078125"
"340","4.491281032562256","4.491281032562256","4.491281032562256"
"341","4.553681373596191","4.553681373596191","4.553681373596191"
"342","4.125960350036621","4.125960350036621","4.125960350036621"
"343","4.33707332611084","4.33707332611084","4.33707332611084"
"344","4.367080211639404","4.367080211639404","4.367080211639404"
"345","4.6886444091796875","4.6886444091796875","4.6886444091796875"
"346","4.588385581970215","4.588385581970215","4.588385581970215"
"347","4.491864204406738","4.491864204406738","4.491864204406738"
"348","4.558644771575928","4.558644771575928","4.558644771575928"
"349","4.392479419708252","4.392479419708252","4.392479419708252"
"350","4.281314849853516","4.281314849853516","4.281314849853516"
"351","4.701975345611572","4.701975345611572","4.701975345611572"
"352","4.9156951904296875","4.9156951904296875","4.9156951904296875"
"353","4.5203046798706055","4.5203046798706055","4.5203046798706055"
"354","4.019266128540039","4.019266128540039","4.019266128540039"
"355","4.692140579223633","4.692140579223633","4.692140579223633"
"356","4.505145072937012","4.505145072937012","4.505145072937012"
"357","4.386164665222168","4.386164665222168","4.386164665222168"
"358","4.7598557472229","4.7598557472229","4.7598557472229"
"359","4.784923076629639","4.784923076629639","4.784923076629639"
"360","4.478972911834717","4.478972911834717","4.478972911834717"
"361","4.6841607093811035","4.6841607093811035","4.6841607093811035"
"362","4.578396797180176","4.578396797180176","4.578396797180176"
"363","4.723448753356934","4.723448753356934","4.723448753356934"
"364","5.088638782501221","5.088638782501221","5.088638782501221"
"365","4.6049628257751465","4.6049628257751465","4.6049628257751465"
"366","4.497427940368652","4.497427940368652","4.497427940368652"
"367","4.570599555969238","4.570599555969238","4.570599555969238"
"368","4.500985145568848","4.500985145568848","4.500985145568848"
"369","4.376611232757568","4.376611232757568","4.376611232757568"
"370","5.07205867767334","5.07205867767334","5.07205867767334"
"371","4.952338695526123","4.952338695526123","4.952338695526123"
"372","4.638887405395508","4.638887405395508","4.638887405395508"
"373","4.91316556930542","4.91316556930542","4.91316556930542"
"374","5.146194934844971","5.146194934844971","5.146194934844971"
"375","4.698436260223389","4.698436260223389","4.698436260223389"
"376","5.019440650939941","5.019440650939941","5.019440650939941"
"377","5.129397869110107","5.129397869110107","5.129397869110107"
"378","4.769172668457031","4.769172668457031","4.769172668457031"
"379","4.826744079589844","4.826744079589844","4.826744079589844"
"380","4.808145523071289","4.808145523071289","4.808145523071289"
"381","4.7035231590271","4.7035231590271","4.7035231590271"
"382","4.502147197723389","4.502147197723389","4.502147197723389"
"383","4.704689025878906","4.704689025878906","4.704689025878906"
"384","5.089937210083008","5.089937210083008","5.089937210083008"
"385","4.674363136291504","4.674363136291504","4.674363136291504"
"386","5.198154926300049","5.198154926300049","5.198154926300049"
"387","4.755878448486328","4.755878448486328","4.755878448486328"
"388","4.935976982116699","4.935976982116699","4.935976982116699"
"389","5.199130535125732","5.199130535125732","5.199130535125732"
"390","4.5713911056518555","4.5713911056518555","4.5713911056518555"
"391","4.899787425994873","4.899787425994873","4.899787425994873"
"392","4.464607238769531","4.464607238769531","4.464607238769531"
"393","4.932258605957031","4.932258605957031","4.932258605957031"
"394","4.794196605682373","4.794196605682373","4.794196605682373"
"395","5.220494270324707","5.220494270324707","5.220494270324707"
"396","4.943349838256836","4.943349838256836","4.943349838256836"
"397","4.902487754821777","4.902487754821777","4.902487754821777"
"398","4.930813789367676","4.930813789367676","4.930813789367676"
"399","4.96439266204834","4.96439266204834","4.96439266204834"
"400","4.445900917053223","4.445900917053223","4.445900917053223"
"401","5.342843532562256","5.342843532562256","5.342843532562256"
"402","5.155245780944824","5.155245780944824","5.155245780944824"
