"Step","exponentialNoMovement - Metrics/targetPosition/error_heading","exponentialNoMovement - Metrics/targetPosition/error_heading__MIN","exponentialNoMovement - Metrics/targetPosition/error_heading__MAX"
"135","1.5847158432006836","1.5847158432006836","1.5847158432006836"
"136","1.376044750213623","1.376044750213623","1.376044750213623"
"137","1.7084506750106812","1.7084506750106812","1.7084506750106812"
"138","1.3926962614059448","1.3926962614059448","1.3926962614059448"
"139","1.6448628902435303","1.6448628902435303","1.6448628902435303"
"140","1.5910940170288086","1.5910940170288086","1.5910940170288086"
"141","1.5869596004486084","1.5869596004486084","1.5869596004486084"
"142","1.4409126043319702","1.4409126043319702","1.4409126043319702"
"143","1.6079957485198975","1.6079957485198975","1.6079957485198975"
"144","1.4635848999023438","1.4635848999023438","1.4635848999023438"
"145","1.4107046127319336","1.4107046127319336","1.4107046127319336"
"146","1.5360115766525269","1.5360115766525269","1.5360115766525269"
"147","1.5825790166854858","1.5825790166854858","1.5825790166854858"
"148","1.441510558128357","1.441510558128357","1.441510558128357"
"149","1.3562688827514648","1.3562688827514648","1.3562688827514648"
"150","1.5399984121322632","1.5399984121322632","1.5399984121322632"
"151","1.6109635829925537","1.6109635829925537","1.6109635829925537"
"152","1.4805282354354858","1.4805282354354858","1.4805282354354858"
"153","1.3161685466766357","1.3161685466766357","1.3161685466766357"
"154","1.5897407531738281","1.5897407531738281","1.5897407531738281"
"155","1.5078513622283936","1.5078513622283936","1.5078513622283936"
"156","1.2693431377410889","1.2693431377410889","1.2693431377410889"
"157","1.6835269927978516","1.6835269927978516","1.6835269927978516"
"158","1.68942391872406","1.68942391872406","1.68942391872406"
"159","1.4323890209197998","1.4323890209197998","1.4323890209197998"
"160","1.3702729940414429","1.3702729940414429","1.3702729940414429"
"161","1.7168757915496826","1.7168757915496826","1.7168757915496826"
"162","1.7225310802459717","1.7225310802459717","1.7225310802459717"
"163","1.585247278213501","1.585247278213501","1.585247278213501"
"164","1.5592460632324219","1.5592460632324219","1.5592460632324219"
"165","1.4745738506317139","1.4745738506317139","1.4745738506317139"
"166","1.608890414237976","1.608890414237976","1.608890414237976"
"167","1.4138157367706299","1.4138157367706299","1.4138157367706299"
"168","1.6470903158187866","1.6470903158187866","1.6470903158187866"
"169","1.5082156658172607","1.5082156658172607","1.5082156658172607"
"170","1.3574466705322266","1.3574466705322266","1.3574466705322266"
"171","1.3307321071624756","1.3307321071624756","1.3307321071624756"
"172","1.5292348861694336","1.5292348861694336","1.5292348861694336"
"173","1.7254796028137207","1.7254796028137207","1.7254796028137207"
"174","1.382124900817871","1.382124900817871","1.382124900817871"
"175","1.619110107421875","1.619110107421875","1.619110107421875"
"176","1.5057716369628906","1.5057716369628906","1.5057716369628906"
"177","1.4686424732208252","1.4686424732208252","1.4686424732208252"
"178","1.4373912811279297","1.4373912811279297","1.4373912811279297"
"179","1.5877349376678467","1.5877349376678467","1.5877349376678467"
"180","1.390166163444519","1.390166163444519","1.390166163444519"
"181","1.3612077236175537","1.3612077236175537","1.3612077236175537"
"182","1.5795812606811523","1.5795812606811523","1.5795812606811523"
"183","1.2912638187408447","1.2912638187408447","1.2912638187408447"
"184","1.5293411016464233","1.5293411016464233","1.5293411016464233"
"185","1.42949378490448","1.42949378490448","1.42949378490448"
"186","1.4637141227722168","1.4637141227722168","1.4637141227722168"
"187","1.446882724761963","1.446882724761963","1.446882724761963"
"188","1.5709214210510254","1.5709214210510254","1.5709214210510254"
"189","1.5458338260650635","1.5458338260650635","1.5458338260650635"
"190","1.4189720153808594","1.4189720153808594","1.4189720153808594"
