"Step","0.4Blind - Episode_Reward/payload_2_target","0.4Blind - Episode_Reward/payload_2_target__MIN","0.4Blind - Episode_Reward/payload_2_target__MAX"
"217","-0.19226215779781342","-0.19226215779781342","-0.19226215779781342"
"218","-0.20069722831249237","-0.20069722831249237","-0.20069722831249237"
"219","-0.21000033617019653","-0.21000033617019653","-0.21000033617019653"
"220","-0.177128404378891","-0.177128404378891","-0.177128404378891"
"221","-0.23667094111442566","-0.23667094111442566","-0.23667094111442566"
"222","-0.24589037895202637","-0.24589037895202637","-0.24589037895202637"
"223","-0.232283353805542","-0.232283353805542","-0.232283353805542"
"224","-0.2070186734199524","-0.2070186734199524","-0.2070186734199524"
"225","-0.18298403918743134","-0.18298403918743134","-0.18298403918743134"
"226","-0.29287099838256836","-0.29287099838256836","-0.29287099838256836"
"227","-0.24462366104125977","-0.24462366104125977","-0.24462366104125977"
"228","-0.22028450667858124","-0.22028450667858124","-0.22028450667858124"
"229","-0.24166862666606903","-0.24166862666606903","-0.24166862666606903"
"230","-0.31762975454330444","-0.31762975454330444","-0.31762975454330444"
"231","-0.18734149634838104","-0.18734149634838104","-0.18734149634838104"
"232","-0.3320298194885254","-0.3320298194885254","-0.3320298194885254"
"233","-0.21550199389457703","-0.21550199389457703","-0.21550199389457703"
"234","-0.32731515169143677","-0.32731515169143677","-0.32731515169143677"
"235","-0.27998918294906616","-0.27998918294906616","-0.27998918294906616"
"236","-0.29477912187576294","-0.29477912187576294","-0.29477912187576294"
"237","-0.24057430028915405","-0.24057430028915405","-0.24057430028915405"
"238","-0.29905521869659424","-0.29905521869659424","-0.29905521869659424"
"239","-0.27182406187057495","-0.27182406187057495","-0.27182406187057495"
"240","-0.3078628480434418","-0.3078628480434418","-0.3078628480434418"
"241","-0.43007299304008484","-0.43007299304008484","-0.43007299304008484"
"242","-0.23695354163646698","-0.23695354163646698","-0.23695354163646698"
"243","-0.3170228898525238","-0.3170228898525238","-0.3170228898525238"
"244","-0.2817515730857849","-0.2817515730857849","-0.2817515730857849"
"245","-0.24200361967086792","-0.24200361967086792","-0.24200361967086792"
"246","-0.3584628999233246","-0.3584628999233246","-0.3584628999233246"
"247","-0.43328285217285156","-0.43328285217285156","-0.43328285217285156"
"248","-0.40245407819747925","-0.40245407819747925","-0.40245407819747925"
"249","-0.3904434144496918","-0.3904434144496918","-0.3904434144496918"
"250","-0.2690730690956116","-0.2690730690956116","-0.2690730690956116"
"251","-0.31860098242759705","-0.31860098242759705","-0.31860098242759705"
"252","-0.3481394648551941","-0.3481394648551941","-0.3481394648551941"
"253","-0.3465360999107361","-0.3465360999107361","-0.3465360999107361"
"254","-0.3437976539134979","-0.3437976539134979","-0.3437976539134979"
"255","-0.37269389629364014","-0.37269389629364014","-0.37269389629364014"
"256","-0.2783244550228119","-0.2783244550228119","-0.2783244550228119"
"257","-0.2750256061553955","-0.2750256061553955","-0.2750256061553955"
"258","-0.3187941312789917","-0.3187941312789917","-0.3187941312789917"
"259","-0.34000319242477417","-0.34000319242477417","-0.34000319242477417"
"260","-0.29473602771759033","-0.29473602771759033","-0.29473602771759033"
"261","-0.27613565325737","-0.27613565325737","-0.27613565325737"
"262","-0.3683548867702484","-0.3683548867702484","-0.3683548867702484"
"263","-0.2345770299434662","-0.2345770299434662","-0.2345770299434662"
"264","-0.28597593307495117","-0.28597593307495117","-0.28597593307495117"
"265","-0.264797180891037","-0.264797180891037","-0.264797180891037"
"266","-0.3181522488594055","-0.3181522488594055","-0.3181522488594055"
"267","-0.31763726472854614","-0.31763726472854614","-0.31763726472854614"
"268","-0.37111252546310425","-0.37111252546310425","-0.37111252546310425"
"269","-0.3119605779647827","-0.3119605779647827","-0.3119605779647827"
"270","-0.27339839935302734","-0.27339839935302734","-0.27339839935302734"
"271","-0.29095014929771423","-0.29095014929771423","-0.29095014929771423"
"272","-0.32390090823173523","-0.32390090823173523","-0.32390090823173523"
"273","-0.2974066138267517","-0.2974066138267517","-0.2974066138267517"
"274","-0.3265560269355774","-0.3265560269355774","-0.3265560269355774"
"275","-0.3230314552783966","-0.3230314552783966","-0.3230314552783966"
"276","-0.3361552655696869","-0.3361552655696869","-0.3361552655696869"
"277","-0.2761354446411133","-0.2761354446411133","-0.2761354446411133"
"278","-0.44254112243652344","-0.44254112243652344","-0.44254112243652344"
"279","-0.23755918443202972","-0.23755918443202972","-0.23755918443202972"
"280","-0.2733631134033203","-0.2733631134033203","-0.2733631134033203"
"281","-0.4045693278312683","-0.4045693278312683","-0.4045693278312683"
"282","-0.2805964946746826","-0.2805964946746826","-0.2805964946746826"
"283","-0.4251604974269867","-0.4251604974269867","-0.4251604974269867"
"284","-0.39149004220962524","-0.39149004220962524","-0.39149004220962524"
"285","-0.5083805322647095","-0.5083805322647095","-0.5083805322647095"
"286","-0.36988314986228943","-0.36988314986228943","-0.36988314986228943"
"287","-0.526215672492981","-0.526215672492981","-0.526215672492981"
"288","-0.33523866534233093","-0.33523866534233093","-0.33523866534233093"
"289","-0.26547712087631226","-0.26547712087631226","-0.26547712087631226"
"290","-0.5032528638839722","-0.5032528638839722","-0.5032528638839722"
"291","-0.40779829025268555","-0.40779829025268555","-0.40779829025268555"
"292","-0.3687707781791687","-0.3687707781791687","-0.3687707781791687"
"293","-0.39570745825767517","-0.39570745825767517","-0.39570745825767517"
"294","-0.44655641913414","-0.44655641913414","-0.44655641913414"
"295","-0.36442822217941284","-0.36442822217941284","-0.36442822217941284"
"296","-0.39882323145866394","-0.39882323145866394","-0.39882323145866394"
"297","-0.47483980655670166","-0.47483980655670166","-0.47483980655670166"
"298","-0.407035768032074","-0.407035768032074","-0.407035768032074"
"299","-0.3336354196071625","-0.3336354196071625","-0.3336354196071625"
"300","-0.35724398493766785","-0.35724398493766785","-0.35724398493766785"
